,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,2.861,3.691,2.156,37.394,2.978,2.974,6.972,2.83,6.952,4.426
1,0.231,1.211,1.335,0.577,0.266,1.445,0.11,1.871,4.057,1.757
2,0.611,1.714,1.685,0.07,0.261,1.54,0.555,0.752,2.263,1.656
3,0.114,2.021,17.914,9.874,0.262,11.068,3.041,2.472,0.227,0.381
4,0.12,0.91,0.101,0.324,13.907,0.367,30.345,1.96,6.377,11.366
5,0.106,6.007,0.108,30.207,0.499,0.913,13.004,1.0,2.086,0.27
6,0.448,1.18,0.262,0.983,0.082,12.987,0.148,2.158,2.027,1.252
7,0.155,0.682,0.582,0.102,32.846,0.723,0.122,0.355,2.037,1.592
8,0.157,0.213,0.507,0.363,0.122,1.176,3.742,1.738,2.041,1.047
9,0.584,15.594,0.846,0.078,0.127,1.145,0.105,0.176,0.125,1.654
10,0.07,0.293,0.096,4.262,0.088,0.805,1.843,0.572,2.065,0.666
11,0.112,0.602,0.183,0.189,0.154,0.431,3.406,1.766,2.015,1.801
12,0.088,0.127,0.11,0.173,26.086,2.022,0.188,9.333,0.226,3.387
13,0.29,0.955,0.121,0.555,7.705,1.095,3.366,0.357,2.928,0.468
14,0.097,1.05,0.882,0.453,2.903,0.757,11.631,8.902,0.129,2.141
15,0.089,0.095,0.948,0.098,0.161,0.604,0.149,0.605,0.268,0.938
16,0.075,0.413,0.486,0.145,0.153,13.046,1.489,0.071,0.327,0.409
17,0.127,12.23,35.104,7.362,22.738,0.271,4.145,0.955,2.419,3.844
18,0.099,0.097,0.089,0.13,0.273,0.215,3.589,5.196,11.188,3.691
19,0.364,0.256,10.664,2.139,0.082,0.216,0.255,0.082,2.073,1.219
20,0.12,0.618,0.78,0.632,0.105,0.625,3.805,8.145,2.057,1.113
21,0.133,0.964,52.781,0.151,0.132,0.691,3.747,0.091,0.138,0.227
22,0.17,0.869,0.245,2.637,0.109,0.293,0.137,1.208,1.102,2.946
23,0.107,0.164,0.736,61.154,25.67,0.55,0.096,0.102,2.056,2.661
24,0.088,1.033,15.838,0.106,0.23,0.254,0.176,0.994,2.055,1.953
25,0.094,0.186,3.331,0.162,9.954,0.239,3.777,4.09,0.225,0.472
26,0.178,0.821,0.13,2.454,0.142,13.744,0.197,3.928,2.039,1.834
27,0.138,0.909,2.849,7.822,0.162,0.678,3.714,8.484,2.094,6.388
28,0.173,0.114,0.285,17.385,0.488,0.343,3.275,7.925,0.155,1.557
29,0.115,0.119,0.112,0.116,26.184,0.753,0.114,0.646,0.163,0.253
mean,0.27046666666666663,1.8379333333333334,5.0422,6.2699,5.828966666666666,2.399,3.574766666666667,2.6254666666666666,2.1304666666666665,2.1123000000000003
