,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,1.931,35.174,83.062,257.176,130.155,31.851
1,54.866,32.848,0.686,250.212,130.973,297.078
2,0.727,120.045,0.616,262.64,78.959,289.454
3,30.008,34.668,67.175,33.881,129.449,73.967
4,3.167,0.593,299.75,172.19,129.492,286.829
5,1.102,1.208,0.674,257.802,129.743,288.446
6,1.081,58.308,105.143,47.196,132.723,134.011
7,0.684,0.673,8.358,33.536,131.598,288.285
8,1.111,156.791,104.653,257.555,128.842,259.133
9,2.778,158.679,295.06600000000003,271.4,131.127,215.355
10,2.223,381.055,111.262,33.301,129.025,289.85
11,0.672,1.624,0.664,273.025,130.883,294.975
12,119.952,0.709,9.202,33.366,130.553,291.332
13,0.64,365.853,33.997,33.684,142.76,323.502
14,0.628,120.246,134.191,271.962,,303.566
15,17.729,9.633,0.659,263.11,,340.304
16,5.422,286.06,0.676,260.016,,114.21
17,345.122,116.805,108.283,34.923,,285.34000000000003
18,6.355,35.687,0.647,259.663,,
19,0.666,55.876,47.759,256.554,,
20,38.6,1.879,0.634,34.149,,
21,5.237,1.525,0.683,255.78,,
22,2.64,257.257,207.136,34.014,,
23,71.693,34.822,0.651,272.721,,
24,0.606,111.159,97.715,106.507,,
25,0.735,0.624,169.107,280.425,,
26,5.893,13.219,0.636,40.299,,
27,0.756,159.772,87.01,260.614,,
28,1.905,280.378,0.648,260.65,,
29,9.484,6.824,216.683,263.892,,
mean,24.480433333333334,94.66646666666666,73.11419999999998,179.07476666666665,127.59157142857143,244.8604444444444
