,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.718,1.348,1.118,1.125,1.428,28.162,10.193,2.089,3.314,23.907
1,0.051,0.846,0.149,0.272,0.178,0.178,0.107,0.771,4.194,0.509
2,0.037,0.172,0.191,0.174,0.478,0.361,0.039,0.936,1.047,18.205
3,0.085,0.109,1.209,1.159,0.126,0.174,0.08,1.184,0.873,0.324
4,0.021,0.091,0.296,0.091,0.184,0.119,0.181,0.346,0.194,0.521
5,0.046,0.109,0.096,0.089,0.395,0.147,0.084,0.428,5.734,0.34
6,0.037,0.115,21.319,0.242,0.117,0.148,0.189,0.61,0.491,0.971
7,0.019,0.131,0.147,4.198,0.059,0.71,0.091,0.119,3.11,0.467
8,0.057,0.109,0.849,0.41,0.175,0.084,0.121,0.478,0.103,0.384
9,0.054,0.958,1.21,0.108,0.236,0.073,0.08,0.719,2.015,0.761
10,0.036,0.126,0.237,0.148,11.27,0.136,0.128,0.537,0.179,0.511
11,0.056,0.113,0.044,0.218,4.198,0.117,0.082,0.599,0.186,3.701
12,0.027,0.081,0.067,0.121,0.984,0.138,0.044,0.475,0.82,0.984
13,0.053,0.105,0.386,0.164,0.164,0.135,0.107,0.104,0.174,0.926
14,0.049,0.083,0.145,0.127,0.108,0.087,0.084,0.599,0.181,1.02
15,0.052,0.135,0.081,0.041,0.097,0.084,0.088,0.751,1.012,9.641
16,0.044,0.127,0.129,0.101,0.461,0.086,0.111,0.609,0.207,0.429
17,0.046,0.106,0.072,0.11,7.136,0.101,0.129,0.321,0.191,0.339
18,0.043,0.121,0.089,0.173,0.109,0.111,0.091,0.509,8.11,0.635
19,0.052,0.376,0.144,0.391,0.051,0.237,0.078,0.28,0.212,56.192
20,0.051,0.147,5.963,0.112,0.147,2.196,0.102,10.199,6.228,3.912
21,0.058,0.122,3.258,0.125,0.148,0.119,6.376,1.108,0.197,0.292
22,0.051,0.367,0.082,0.162,0.156,0.114,0.131,0.422,0.219,6.036
23,0.025,0.106,2.676,0.175,11.862,0.063,0.102,0.712,3.209,0.356
24,0.052,0.11,0.175,2.587,0.147,4.174,0.12,0.819,0.203,13.275
25,0.034,3.264,0.094,0.141,0.148,0.38,0.098,0.366,0.873,0.285
26,0.042,0.106,0.08,0.102,0.124,0.274,0.124,0.152,0.22,0.37
27,0.042,0.093,0.115,0.128,0.137,0.135,0.112,0.569,1.033,18.457
28,0.031,0.074,1.487,0.31,0.128,6.391,0.158,2.023,0.217,35.891
29,0.027,0.119,0.11,0.184,0.158,0.101,2.784,8.562,0.818,18.535
mean,0.06653333333333333,0.32896666666666663,1.4005999999999998,0.4496,1.3702999999999999,1.5111666666666668,0.7404666666666667,1.2465333333333333,1.5188,7.2725333333333335
