queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1801,1,1,3,3834091,0,2008,2253,318
2,9.sparql,43,1,1,20,21461779,0,135,853,0
3,29.sparql,80,1,1,10,11055162,0,128,172,1
4,25.sparql,60,1,1,3,4347692,0,137,281,39
5,2.sparql,47,1,1,3,3834091,0,93,155,95
6,21.sparql,57,1,1,14,15614005,0,128,2357,10031
7,28.sparql,44,1,1,20,21461779,0,100,573,1
8,27.sparql,49,1,1,10,10614563,0,91,5545,41889
9,4.sparql,46,1,1,3,4347692,0,72,285,113
10,26.sparql,43,2,2,31,33459151,0,84,152,3
11,17.sparql,45,1,1,33,35396331,0,72,180,299
12,23.sparql,46,1,1,1,1525703,0,94,101,0
13,3.sparql,45,1,1,20,21461779,0,79,280,1
14,20.sparql,44,1,1,1,1525703,0,91,100,0
15,0.sparql,48,1,1,3,3834091,0,78,463,3776
16,19.sparql,76,1,1,20,21461779,0,115,367,0
17,13.sparql,46,1,1,14,15614005,0,90,9093,90505
18,16.sparql,47,1,1,0,518318,0,100,325,3409
19,5.sparql,52,2,2,31,33459151,0,92,161,1
20,7.sparql,62,1,1,9,10717389,0,89,114,0
21,15.sparql,55,1,1,3,3834091,0,82,253,1982
22,12.sparql,50,1,1,33,35396331,0,77,171,237
23,22.sparql,57,0,0,0,0,0,97,107,0
24,11.sparql,61,2,2,31,33459151,0,98,172,5
25,8.sparql,68,1,1,3,3834091,0,97,112,77
26,18.sparql,65,1,1,33,35396331,0,92,185,253
27,24.sparql,63,1,1,10,11055162,0,89,114,0
28,6.sparql,65,1,1,3,4347692,0,90,355,149
29,10.sparql,65,1,1,9,10717389,0,91,115,2
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
31,31,374,413584492,50,26594
