queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1125,1,1,0,777082,0,1241,1296,2
2,9.sparql,55,1,1,3,3844201,0,114,333,483
3,29.sparql,29,1,1,3,3844201,0,77,130,78
4,25.sparql,32,1,1,0,866930,0,70,77,0
5,2.sparql,37,1,1,0,1320736,0,79,100,24
6,21.sparql,40,1,1,0,85900,0,70,77,38
7,28.sparql,26,1,1,0,866930,0,59,66,0
8,27.sparql,39,1,1,0,1320736,0,73,87,18
9,4.sparql,42,1,1,0,866930,0,77,85,0
10,26.sparql,35,1,1,3,3844201,0,73,252,690
11,17.sparql,33,1,1,0,1320736,0,72,87,26
12,23.sparql,54,1,1,0,866930,0,93,102,1
13,3.sparql,41,1,1,0,777082,0,66,73,0
14,20.sparql,38,1,1,0,85900,0,67,74,45
15,0.sparql,41,1,1,0,85900,0,67,76,86
16,1.sparql,43,1,1,0,1320736,0,70,82,25
17,19.sparql,43,1,1,0,1320736,0,67,81,30
18,13.sparql,55,1,1,0,866930,0,79,86,0
19,16.sparql,43,1,1,0,777082,0,64,72,0
20,5.sparql,58,1,1,3,3844201,0,86,161,428
21,7.sparql,47,1,1,0,1320736,0,73,84,31
22,15.sparql,49,1,1,0,1320736,0,70,83,25
23,12.sparql,58,1,1,3,3844201,0,78,217,949
24,22.sparql,34,1,1,0,777082,0,57,63,1
25,11.sparql,56,1,1,0,1320736,0,85,95,30
26,8.sparql,54,1,1,0,671264,0,74,1223,11735
27,18.sparql,55,1,1,0,777082,0,77,85,2
28,24.sparql,73,1,1,0,777082,0,91,97,1
29,6.sparql,52,1,1,0,1320736,0,71,83,35
30,10.sparql,72,1,1,3,3844201,0,90,104,34
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,18,44877936,32,6635
