queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1038,1,1,0,59077,0,1186,1279,25
2,9.sparql,46,2,2,1,2022398,0,215,448,57
3,29.sparql,44,2,2,2,3556921,0,311,557,418
4,25.sparql,32,2,2,1,2813536,0,137,1445,112
5,2.sparql,41,0,0,0,0,0,99,115,0
6,21.sparql,30,1,1,0,400664,0,67,76,39
7,28.sparql,46,2,2,1,2457511,0,106,134,68
8,27.sparql,28,1,1,0,426982,0,68,94,10
9,4.sparql,23,2,2,1,2022398,0,87,154,33
10,26.sparql,31,2,2,2,3556921,0,157,281,370
11,17.sparql,24,1,1,0,102451,0,89,2179,11150
12,23.sparql,38,2,2,0,1202420,0,172,185,0
13,3.sparql,37,1,1,0,59077,0,64,73,18
14,20.sparql,49,1,1,1,1208877,0,73,83,18
15,0.sparql,35,2,2,2,3556921,0,168,272,482
16,1.sparql,30,2,2,2,3556921,0,157,224,390
17,19.sparql,25,2,2,1,2022398,0,83,128,37
18,13.sparql,28,2,2,0,1071734,0,111,4675,33
19,16.sparql,24,0,0,0,0,0,53,60,0
20,5.sparql,22,1,1,0,125438,0,89,1289,41
21,7.sparql,22,2,2,2,3556921,0,105,207,437
22,15.sparql,26,2,2,0,1071734,0,100,6801,67
23,12.sparql,37,2,2,1,2457511,0,82,96,13
24,22.sparql,31,2,2,2,3556921,0,129,188,404
25,11.sparql,27,0,0,0,0,0,71,75,0
26,8.sparql,24,1,1,0,51709,0,46,97,5
27,18.sparql,27,1,1,0,59077,0,44,49,21
28,24.sparql,30,1,1,0,99506,0,77,421,212
29,6.sparql,30,2,2,1,2457511,0,73,98,28
30,10.sparql,33,1,1,0,102451,0,76,452,3249
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
43,43,20,43635986,419,23452
