queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1020,3,3,1,3694163,0,1633,1978,0
2,9.sparql,41,2,2,0,919299,0,216,410,4
3,29.sparql,30,1,1,0,85900,0,66,226,22
4,25.sparql,33,2,2,2,3193816,0,119,372,17
5,2.sparql,27,2,2,0,919299,0,156,250,7
6,21.sparql,31,1,1,0,125438,0,168,986,8
7,28.sparql,21,2,2,0,685688,0,136,421,46
8,27.sparql,28,2,2,0,919299,0,131,216,15
9,4.sparql,33,1,1,0,426982,0,70,121,13
10,26.sparql,42,1,1,0,119343,0,73,2301,11
11,17.sparql,17,3,3,1,3694163,0,209,234,0
12,23.sparql,23,2,2,0,919299,0,92,168,7
13,3.sparql,30,1,1,0,96711,0,123,127,0
14,20.sparql,23,2,2,2,3193816,0,89,193,12
15,0.sparql,36,2,2,2,3193816,0,92,281,30
16,1.sparql,28,1,1,0,142080,0,46,50,15
17,19.sparql,30,3,3,1,3694163,0,229,283,0
18,13.sparql,38,3,3,2,4108735,0,141,2235,13
19,16.sparql,45,1,1,0,90547,0,67,71,15
20,5.sparql,37,1,1,0,426982,0,62,87,14
21,7.sparql,34,2,2,0,919299,0,103,163,8
22,15.sparql,30,1,1,0,26383,0,110,139,0
23,12.sparql,33,1,1,0,85900,0,53,130,19
24,22.sparql,39,1,1,0,96711,0,117,120,0
25,11.sparql,32,2,2,0,685688,0,110,174,8
26,8.sparql,39,2,2,1,2457511,0,89,99,8
27,18.sparql,39,2,2,2,3193816,0,88,178,13
28,24.sparql,40,2,2,0,685688,0,121,205,28
29,6.sparql,38,1,1,0,400664,0,63,68,20
30,10.sparql,44,1,1,0,137335,0,75,78,0
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
51,51,14,39338534,34,13528
