queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1128,2,2,0,364824,0,1422,1681,12
2,9.sparql,31,2,2,0,919299,0,206,371,4
3,29.sparql,60,2,2,2,3556921,0,258,529,384
4,25.sparql,28,2,2,2,3556921,0,208,349,370
5,2.sparql,31,2,2,0,364824,0,144,196,7
6,21.sparql,40,2,2,0,919299,0,181,313,7
7,28.sparql,32,2,2,2,3556921,0,223,368,371
8,27.sparql,30,1,1,0,607088,0,210,671,696
9,4.sparql,18,2,2,0,919299,0,118,195,7
10,26.sparql,26,2,2,0,919299,0,129,269,17
11,17.sparql,21,2,2,2,3556921,0,174,305,404
12,23.sparql,24,2,2,2,3556921,0,200,325,418
13,3.sparql,37,2,2,2,3556921,0,209,343,482
14,20.sparql,24,0,0,0,0,0,184,190,0
15,0.sparql,18,2,2,0,919299,0,154,245,8
16,1.sparql,23,2,2,2,3556921,0,151,253,390
17,19.sparql,31,2,2,0,919299,0,138,208,15
18,13.sparql,23,2,2,0,364824,0,115,164,7
19,16.sparql,42,2,2,0,919299,0,136,203,7
20,5.sparql,23,2,2,0,364824,0,112,135,7
21,7.sparql,24,0,0,0,0,0,134,139,0
22,15.sparql,16,1,1,0,26383,0,116,146,0
23,12.sparql,22,2,2,0,364824,0,96,131,13
24,22.sparql,23,2,2,0,919299,0,107,144,4
25,11.sparql,19,2,2,2,3556921,0,118,207,437
26,8.sparql,21,2,2,0,364824,0,83,111,15
27,18.sparql,21,0,0,0,0,0,123,128,0
28,24.sparql,16,2,2,0,919299,0,90,175,16
29,6.sparql,25,1,1,0,607088,0,141,440,1088
30,10.sparql,29,3,3,2,4108735,0,152,1652,13
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
52,52,18,44267297,1623,11694
